Year,Cancer Type,Sex,Count
1989,Melanoma of the skin,Males,288
1989,Melanoma of the skin,Males,223
1989,Melanoma of the skin,Males,131
1989,Melanoma of the skin,Males,53
1989,Melanoma of the skin,Males,15
1989,Melanoma of the skin,Males,3103
1990,Melanoma of the skin,Males,1
1990,Melanoma of the skin,Males,1
1990,Melanoma of the skin,Males,4
1990,Melanoma of the skin,Males,47
1990,Melanoma of the skin,Males,64
1990,Melanoma of the skin,Males,115
1990,Melanoma of the skin,Males,171
1990,Melanoma of the skin,Males,195
1990,Melanoma of the skin,Males,272
1990,Melanoma of the skin,Males,251
1990,Melanoma of the skin,Males,283
1990,Melanoma of the skin,Males,271
1990,Melanoma of the skin,Males,359
1990,Melanoma of the skin,Males,348
1990,Melanoma of the skin,Males,322
1990,Melanoma of the skin,Males,235
1990,Melanoma of the skin,Males,135
1990,Melanoma of the skin,Males,60
1990,Melanoma of the skin,Males,14
1990,Melanoma of the skin,Males,3148
1991,Melanoma of the skin,Males,1
1991,Melanoma of the skin,Males,1
1991,Melanoma of the skin,Males,8
1991,Melanoma of the skin,Males,53
1991,Melanoma of the skin,Males,63
1991,Melanoma of the skin,Males,128
1991,Melanoma of the skin,Males,163
1991,Melanoma of the skin,Males,202
1991,Melanoma of the skin,Males,256
1991,Melanoma of the skin,Males,263
1991,Melanoma of the skin,Males,255
1991,Melanoma of the skin,Males,282
1991,Melanoma of the skin,Males,341
1991,Melanoma of the skin,Males,361
1991,Melanoma of the skin,Males,332
1991,Melanoma of the skin,Males,252
1991,Melanoma of the skin,Males,153
1991,Melanoma of the skin,Males,61
1991,Melanoma of the skin,Males,11
1991,Melanoma of the skin,Males,3187
1992,Melanoma of the skin,Males,1
1992,Melanoma of the skin,Males,1
1992,Melanoma of the skin,Males,5
1992,Melanoma of the skin,Males,39
1992,Melanoma of the skin,Males,91
1992,Melanoma of the skin,Males,115
1992,Melanoma of the skin,Males,153
1992,Melanoma of the skin,Males,221
1992,Melanoma of the skin,Males,281
1992,Melanoma of the skin,Males,288
1992,Melanoma of the skin,Males,275
1992,Melanoma of the skin,Males,318
1992,Melanoma of the skin,Males,431
1992,Melanoma of the skin,Males,440
1992,Melanoma of the skin,Males,365
1992,Melanoma of the skin,Males,304
1992,Melanoma of the skin,Males,173
1992,Melanoma of the skin,Males,60
1992,Melanoma of the skin,Males,26
1992,Melanoma of the skin,Males,3587
1993,Melanoma of the skin,Males,0
1993,Melanoma of the skin,Males,1
1993,Melanoma of the skin,Males,11
1993,Melanoma of the skin,Males,39
1993,Melanoma of the skin,Males,75
1993,Melanoma of the skin,Males,122
1993,Melanoma of the skin,Males,144
1993,Melanoma of the skin,Males,223
1993,Melanoma of the skin,Males,253
1993,Melanoma of the skin,Males,300
1993,Melanoma of the skin,Males,301
1993,Melanoma of the skin,Males,321
1993,Melanoma of the skin,Males,408
1993,Melanoma of the skin,Males,453
1993,Melanoma of the skin,Males,436
1993,Melanoma of the skin,Males,342
1993,Melanoma of the skin,Males,183
1993,Melanoma of the skin,Males,72
1993,Melanoma of the skin,Males,28
1993,Melanoma of the skin,Males,3713
1994,Melanoma of the skin,Males,0
